ID,Run,File,FileType,Group,Question,Expected,Actual,Sources,Retrieval,Citation,Answer,Score,Hallucination,Severity,Notes,Fix,LatencyMs
B300-DIR-001,Base 300,AI Document Question Answering System.pptx,PPTX,Base 300,"Tài liệu ""AI Document Question Answering System.pptx"" nói về nội dung gì?",Slide: 1 > Slide 1 > Blocks: 4-7,"Tài liệu ""AI Document Question Answering System.pptx"" có các ý chính: - TRƯỜNG ĐẠI HỌC GIAO THÔNG VẬN TẢI THÀNH PHỐ HỒ CHÍ MINH - ĐỀ TÀI: AI Document Question Answering System - Giảng viên hướng dẫn: Nguyễn Văn Huy - Sinh viên thực hiện: Huỳnh Ngọc Quang Vinh - Nội dung.",AI Document Question Answering System.pptx (slide 1) | AI Document Question Answering System.pptx (slide 2) | AI Document Question Answering System.pptx (slide 4),Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,6555.75
B300-DIR-002,Base 300,AI Document Question Answering System.pptx,PPTX,Base 300,"Nêu một thông tin cụ thể xuất hiện trong file ""AI Document Question Answering System.pptx"".",Slide: 1 > Slide 1 > Blocks: 4-7,"Một thông tin cụ thể trong ""AI Document Question Answering System.pptx"" là: TRƯỜNG ĐẠI HỌC GIAO THÔNG VẬN TẢI THÀNH PHỐ HỒ CHÍ MINH.",AI Document Question Answering System.pptx (slide 1) | AI Document Question Answering System.pptx (slide 2) | AI Document Question Answering System.pptx (slide 3),Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,559.58
B300-DIR-003,Base 300,bai_trinh_chieu_mau_thu_vien_thong_minh.pptx,PPTX,Base 300,"Tài liệu ""bai_trinh_chieu_mau_thu_vien_thong_minh.pptx"" nói về nội dung gì?",Slide: 1 > Slide 1 > Blocks: 1-5,"Tài liệu ""bai_trinh_chieu_mau_thu_vien_thong_minh.pptx"" có các ý chính: - BÀI TRÌNH CHIẾU MẪU - Thư viện thông minh - cho trường học hiện đại - LIBRARY - Một bộ slide có nội dung dài vừa phải, chủ đề riêng biệt so với PDF, Markdown và hình ảnh. Dùng để kiểm thử khả năng đọc PPTX, tách nội dung theo slide, nhận diện tiêu đề và xử...",bai_trinh_chieu_mau_thu_vien_thong_minh.pptx (slide 1) | bai_trinh_chieu_mau_thu_vien_thong_minh.pptx (slide 7) | bai_trinh_chieu_mau_thu_vien_thong_minh.pptx (slide 2),Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,440.46
B300-DIR-004,Base 300,bai_trinh_chieu_mau_thu_vien_thong_minh.pptx,PPTX,Base 300,"Nêu một thông tin cụ thể xuất hiện trong file ""bai_trinh_chieu_mau_thu_vien_thong_minh.pptx"".",Slide: 1 > Slide 1 > Blocks: 1-5,"Một thông tin cụ thể trong ""bai_trinh_chieu_mau_thu_vien_thong_minh.pptx"" là: BÀI TRÌNH CHIẾU MẪU.",bai_trinh_chieu_mau_thu_vien_thong_minh.pptx (slide 3) | bai_trinh_chieu_mau_thu_vien_thong_minh.pptx (slide 1) | bai_trinh_chieu_mau_thu_vien_thong_minh.pptx (slide 5),Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,415.1
B300-DIR-011,Base 300,content_summary.md,MD,Base 300,"Tài liệu ""content_summary.md"" nói về nội dung gì?",Test JPG.jpg (JPG),"Tài liệu ""content_summary.md"" có các ý chính: - BÁO CÁO THỰC TẬP TỐT NGHIỆP - MSSV:084205002647 - TÓM TẮT - LỜI NÓI ĐẦU - LỜI CẢM ƠN.",content_summary.md (- CHƯƠNG 1: TỔNG QUAN ĐỀ TÀI) | content_summary.md (- LỜI CẢM ƠN) | content_summary.md (- LỜI NÓI ĐẦU) | content_summary.md (- BÁO CÁO THỰC TẬP TỐT NGHIỆP) | content_summary.md (- Chương 1: > Page 8),Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,408.73
B300-DIR-012,Base 300,content_summary.md,MD,Base 300,"Nêu một thông tin cụ thể xuất hiện trong file ""content_summary.md"".",Test JPG.jpg (JPG),"Một thông tin cụ thể trong ""content_summary.md"" là: BÁO CÁO THỰC TẬP TỐT NGHIỆP.",content_summary.md (- CHƯƠNG 1: TỔNG QUAN ĐỀ TÀI) | content_summary.md (- LỜI NÓI ĐẦU) | content_summary.md (- TÓM TẮT) | content_summary.md (- LỜI CẢM ƠN) | content_summary.md (- BÁO CÁO THỰC TẬP TỐT NGHIỆP),Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,489.2
B300-DIR-014,Base 300,docx_01_thu_vien_so.docx,DOCX,Base 300,"Nêu một thông tin cụ thể xuất hiện trong file ""docx_01_thu_vien_so.docx"".",Tóm tắt nhanh,"Một thông tin cụ thể trong ""docx_01_thu_vien_so.docx"" là: Tóm tắt nhanh.","docx_01_thu_vien_so.docx (trang 1, Tóm tắt nhanh) | docx_01_thu_vien_so.docx (trang 1) | docx_01_thu_vien_so.docx (trang 1, Kết luận)",Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,245.07
B300-DIR-016,Base 300,docx_02_ca_phe_sach.docx,DOCX,Base 300,"Nêu một thông tin cụ thể xuất hiện trong file ""docx_02_ca_phe_sach.docx"".",Tóm tắt nhanh,"Một thông tin cụ thể trong ""docx_02_ca_phe_sach.docx"" là: Tóm tắt nhanh.","docx_02_ca_phe_sach.docx (trang 1, Tóm tắt nhanh) | docx_02_ca_phe_sach.docx (trang 1, Nguyên liệu) | docx_02_ca_phe_sach.docx (trang 1, Phục vụ)",Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,288.64
B300-DIR-036,Base 300,nhat_ky_mau_vuon_rau_do_thi.txt,TXT,Base 300,"Nêu một thông tin cụ thể xuất hiện trong file ""nhat_ky_mau_vuon_rau_do_thi.txt"".",NHẬT KÝ MẪU: DỰ ÁN VƯỜN RAU ĐÔ THỊ TRÊN SÂN THƯỢNG,"Một thông tin cụ thể trong ""nhat_ky_mau_vuon_rau_do_thi.txt"" là: NHẬT KÝ MẪU: DỰ ÁN VƯỜN RAU ĐÔ THỊ TRÊN SÂN THƯỢNG.",nhat_ky_mau_vuon_rau_do_thi.txt (NHẬT KÝ MẪU: DỰ ÁN VƯỜN RAU ĐÔ THỊ TRÊN SÂN THƯỢNG) | nhat_ky_mau_vuon_rau_do_thi.txt | nhat_ky_mau_vuon_rau_do_thi.txt (9. KẾT LUẬN),Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,347.83
B300-DIR-044,Base 300,pdf_page_index.md,MD,Base 300,"Nêu một thông tin cụ thể xuất hiện trong file ""pdf_page_index.md"".",Test pdf.pdf > Page 1,"Một thông tin cụ thể trong ""pdf_page_index.md"" là: Chương 1.",pdf_page_index.md (First 3 non-empty lines:) | pdf_page_index.md (- Chương 1:) | pdf_page_index.md (- 1. Biến đổi không gian:),Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,319.63
